AVG_GRD,Activity_Type,AvgCourse,AvgInstructor,Course,CourseTitle,CrsLvlNum,CrsPBAColl,CrsPBADept,CrsPBADiv,Honors,Hours,Instruction_Mode,Level,NComb,NIntrFCQ,N/ENROLL,N/EOT,N/GRADE,N/INCOMP,N/NOCRED,N/PASS,N/Ret,PCT/A,PCT/B,PCT/C,PCT/C_MINUS_OR_BELOW,PCT/D,PCT/DF,PCT/F,PCT/GRADE,PCT/INCOMP,PCT/WDRAW,RAP,Section,Subject,Subject_Label,Workload/Hrs_Wk,Workload/Raw,YearTerm,Instructors/0/group,Instructors/0/name,Instructors/0/title,Instructors/1/group,Instructors/1/name,Instructors/1/title,Instructors/2/group,Instructors/2/name,Instructors/2/title
3.84,SEM - Seminar,,,2251,Introduction to the Bible,2XXX,AS,HONR,SS,1,3,P  - In Person,Lower,1,,17,17,17,0,0,0,,0.82,0.18,0,0,0,0,0,1,0,0,0,888,HONR,Honors,,,20137,3 Supp,"STREIT, JUDITH ANN",LECTURER,,,,,,
3.76,LEC - Lecture,,,2500,Open Topics,2XXX,AS,HONR,SS,1,3,P  - In Person,Lower,1,,17,16,16,0,0,0,,0.88,0.13,0,0,0,0,0,1,0,0.06,0,888,HONR,Honors,,,20137,2 Other reg,"STROM, PAUL",SENIOR INSTRUCTOR,,,,,,
4,LEC - Lecture,,,2610,Leadership Practicum: Kittredge Honors Program Flock Leaders,2XXX,AS,HONR,SS,1,1,P  - In Person,Lower,1,,21,21,21,0,0,0,,1,0,0,0,0,0,0,1,0,0,0,888,HONR,Honors,,,20137,1 TTT,"GERLAND, OLIVER W",ASSOCIATE PROFESSOR,,,,,,
3.98,SEM - Seminar,5.44,5.94,3220,Advanced Honors Writing Workshop,3XXX,AS,HONR,SS,1,3,HN - Honors Thesis Courses,Upper,1,1,16,16,16,0,0,0,16,1,0,0,0,0,0,0,1,0,0,0,880,HONR,Honors,7-9,3.19,20137,2 Other reg,"NORGAARD, ROLF P",SENIOR INSTRUCTOR,,,,,,
3.54,SEM - Seminar,,,3550,Open Topics,3XXX,AS,HONR,SS,1,1,P  - In Person,Upper,1,,15,15,15,0,0,0,,0.6,0.4,0,0,0,0,0,1,0,0,0,888,HONR,Honors,,,20137,1 TTT,"ELLINGSON, ERICA",ASSOCIATE PROFESSOR,,,,,,
4,SEM - Seminar,,,3550,Open Topics,3XXX,AS,HONR,SS,1,1,P  - In Person,Upper,1,,15,15,15,0,0,0,,1,0,0,0,0,0,0,1,0,0,0,889,HONR,Honors,,,20137,3 Supp,"LESTER, ALAN P",LECTURER,,,,,,
2.9,LEC - Lecture,4.24,4.81,1010,Introduction to Humanities 1,1XXX,AS,HUMN,AH,0,6,P  - In Person,Lower,3,6,140,134,133,1,0,0,74,0.35,0.36,0.21,0.11,0.05,0.08,0.03,0.99,0.01,0.04,0,100,HUMN,Humanities,4-6,2.03,20137,2 Other reg,"BERNARDINI, GIULIA",INSTRUCTOR,3 Supp,"EDDY, MARJORIE ALEXANDRA",LECTURER,3 Supp,"WIESE, ANNJEANETTE MICHELLE",LECTURER
3.63,LEC - Lecture,4.59,5.08,2000,Methods and Approaches to the Humanities,2XXX,AS,HUMN,AH,0,3,P  - In Person,Lower,1,4,26,24,24,0,0,0,24,0.79,0.13,0.08,0,0,0,0,1,0,0.08,0,001,HUMN,Humanities,4-6,2.18,20137,4 TA Cred,"GILBERT, ANDREW L",GRAD PART-TIME INSTRUCTOR,3 Supp,"ABIRAGI, ANTHONY A.",LECTURER,1 TTT,"FERRIS, DAVID S",PROFESSOR
3.19,SEM - Seminar,,,2100,"Arts, Culture and Media",2XXX,AS,HUMN,AH,0,3,P  - In Person,Lower,1,,17,17,17,0,0,0,,0.29,0.59,0.12,0,0,0,0,1,0,0,0,280,HUMN,Humanities,,,20137,2 Other reg,"BERNARDINI, GIULIA",INSTRUCTOR,,,,,,
3.58,SEM - Seminar,5.46,5.5,3093,Topics in Humanities,3XXX,AS,HUMN,AH,0,3,P  - In Person,Upper,1,1,18,18,18,0,0,0,13,0.72,0.22,0,0.06,0.06,0.06,0,1,0,0,0,002,HUMN,Humanities,7-9,3.42,20137,1 TTT,"RABAKA, REILAND DEVAUN",ASSOCIATE PROFESSOR,,,,,,
2.57,SEM - Seminar,5.18,5.18,3093,Topics in Humanities,3XXX,AS,HUMN,AH,0,3,P  - In Person,Upper,1,1,14,13,13,0,0,0,11,0.23,0.38,0.23,0.23,0.08,0.15,0.08,1,0,0.07,0,003,HUMN,Humanities,7-9,2.50,20137,2 Other reg,"BERNARDINI, GIULIA",INSTRUCTOR,,,,,,
3.17,LEC - Lecture,5.62,5.93,3210,Narrative,3XXX,AS,HUMN,AH,0,3,P  - In Person,Upper,1,1,31,31,31,0,0,0,29,0.58,0.26,0.06,0.1,0,0.1,0.1,1,0,0,0,100,HUMN,Humanities,7-9,2.96,20137,3 Supp,"WIESE, ANNJEANETTE MICHELLE",LECTURER,,,,,,
3.52,LEC - Lecture,4.88,5.17,3240,Tragedy,3XXX,AS,HUMN,AH,0,3,P  - In Person,Upper,1,1,28,27,27,0,0,0,24,0.67,0.3,0.04,0,0,0,0,1,0,0.04,0,100,HUMN,Humanities,4-6,2.15,20137,1 TTT,"GORDON, PAUL",PROFESSOR,,,,,,
3.13,LEC - Lecture,5.03,5.41,3660,The Postmodern,3XXX,AS,HUMN,AH,0,3,P  - In Person,Upper,2,1,137,135,133,2,0,0,105,0.34,0.56,0.08,0.05,0.02,0.03,0.02,0.99,0.01,0.01,0,010,HUMN,Humanities,4-6,2.34,20137,1 TTT,"FERRIS, DAVID S",PROFESSOR,,,,,,
3.5,LEC - Lecture,5.37,5.63,4155,"Philosophy, Art, and the Sublime",4XXX,AS,HUMN,AH,0,3,P  - In Person,Upper,1,1,26,24,24,0,0,0,19,0.71,0.21,0.04,0.04,0,0.04,0.04,1,0,0.08,0,001,HUMN,Humanities,7-9,2.50,20137,1 TTT,"GORDON, PAUL",PROFESSOR,,,,,,
3.78,LEC - Lecture,5.57,5.71,4835,Literature and Social Violence.,4XXX,AS,HUMN,AH,1,3,P  - In Person,Upper,1,1,15,15,15,0,0,0,14,0.8,0.2,0,0,0,0,0,1,0,0,0,880,HUMN,Humanities,7-9,2.67,20137,2 Other reg,"COMSTOCK, CATHY",SENIOR INSTRUCTOR,,,,,,
2.58,LEC - Lecture,5.24,5.46,1000,Global Issues and International Affairs,1XXX,AS,IAFS,SS,0,4,P  - In Person,Lower,1,1,363,354,354,0,0,0,194,0.18,0.44,0.25,0.19,0.08,0.13,0.05,1,0,0.02,0,100,IAFS,International Affairs,7-9,2.72,20137,1 TTT,"BEARCE, DAVID H.",PROFESSOR,,,,,,
3.39,LEC - Lecture,,,1000,Global Issues and International Affairs,1XXX,AS,IAFS,SS,0,4,P  - In Person,Lower,1,,17,17,17,0,0,0,,0.65,0.24,0.06,0.12,0,0.06,0.06,1,0,0,0,130,IAFS,International Affairs,,,20137,2 Other reg,"CONZELMAN, CAROLINE S",INSTRUCTOR,,,,,,
3.23,SEM - Seminar,4.9,5.17,3000,Special Topics in International Affairs,3XXX,AS,IAFS,SS,0,3,P  - In Person,Upper,1,1,35,33,33,0,0,0,29,0.58,0.3,0.06,0.06,0,0.06,0.06,1,0,0.06,0,001,IAFS,International Affairs,7-9,2.82,20137,3 Supp,"OLSEN, GAY",LECTURER,,,,,,
3.06,SEM - Seminar,5.5,5.75,3000,Special Topics in International Affairs,3XXX,AS,IAFS,SS,0,3,P  - In Person,Upper,1,1,36,35,34,1,0,0,32,0.32,0.5,0.15,0.06,0.03,0.03,0,0.97,0.03,0.03,0,002,IAFS,International Affairs,7-9,2.81,20137,3 Supp,"SISSON, MELANIE WINOGRAD",LECTURER,,,,,,
2.9,SEM - Seminar,5.38,5.73,3000,Special Topics in International Affairs,3XXX,AS,IAFS,SS,0,3,P  - In Person,Upper,1,1,33,33,32,1,0,0,28,0.16,0.59,0.22,0.06,0.03,0.03,0,0.97,0.03,0,0,003,IAFS,International Affairs,7-9,3.00,20137,3 Supp,"YOUNG, GREGORY D",LECTURER,,,,,,
3.49,SEM - Seminar,5.22,5.63,3000,Special Topics in International Affairs,3XXX,AS,IAFS,SS,0,3,P  - In Person,Upper,1,1,32,31,31,0,0,0,27,0.48,0.52,0,0,0,0,0,1,0,0.03,0,005,IAFS,International Affairs,4-6,2.38,20137,2 Other reg,"SCANLAN-LYONS, COLLEEN M.",INSTRUCTOR,,,,,,
3.62,SEM - Seminar,4.89,5.22,4500,The Post-Cold War World,4XXX,AS,IAFS,SS,0,3,P  - In Person,Upper,1,1,29,29,29,0,0,0,9,0.79,0.17,0.03,0,0,0,0,1,0,0,0,001,IAFS,International Affairs,4-6,2.22,20137,3 Supp,"DEROCHE, ANDREW JAMES",LECTURER,,,,,,
2.95,SEM - Seminar,5.33,5.71,4500,The Post-Cold War World,4XXX,AS,IAFS,SS,0,3,P  - In Person,Upper,1,1,29,26,26,0,0,0,21,0.12,0.77,0.12,0,0,0,0,1,0,0.1,0,002,IAFS,International Affairs,7-9,2.72,20137,3 Supp,"YOUNG, GREGORY D",LECTURER,,,,,,
3.61,SEM - Seminar,4.95,5.32,4500,The Post-Cold War World,4XXX,AS,IAFS,SS,0,3,P  - In Person,Upper,1,1,27,27,27,0,0,0,22,0.63,0.37,0,0,0,0,0,1,0,0,0,003,IAFS,International Affairs,4-6,2.38,20137,1 TTT,"DEETZ, STANLEY A",PROFESSOR,,,,,,
3.49,SEM - Seminar,4,4,4500,The Post-Cold War World,4XXX,AS,IAFS,SS,0,3,P  - In Person,Upper,1,1,13,13,13,0,0,0,1,0.62,0.31,0.08,0,0,0,0,1,0,0,0,004,IAFS,International Affairs,7-9,3.00,20137,1 TTT,"ZHANG, SHUANG",ASST PROFESSOR,,,,,,
3.58,INT - Internship,5.54,5.69,4930,Internship in International Affairs,4XXX,AS,IAFS,SS,0,3,P  - In Person,Upper,1,1,13,13,13,0,0,0,13,0.69,0.31,0,0,0,0,0,1,0,0,1,801,IAFS,International Affairs,13-15,5.00,20137,2 Other reg,"WIDENER, MELINDA CAIN",INSTRUCTOR,,,,,,
3.5,LEC - Lecture,4.88,5.13,1950,Introduction to Scientific Writing in Integrative Physiology,1XXX,AS,IPHY,NS,0,3,P  - In Person,Lower,1,1,14,12,12,0,0,0,8,0.5,0.5,0,0,0,0,0,1,0,0.14,0,001,IPHY,Integrative Physiology,7-9,2.80,20137,2 Other reg,"BOYKO, MARIE ELIZABETH",SENIOR INSTRUCTOR,,,,,,
3.02,LEC - Lecture,4.9,4.78,2420,Nutrition for Health and Performance,2XXX,AS,IPHY,NS,0,3,P  - In Person,Lower,1,1,204,202,202,0,0,0,176,0.34,0.44,0.19,0.04,0.02,0.03,0.01,1,0,0.01,0,001,IPHY,Integrative Physiology,4-6,2.17,20137,2 Other reg,"NELSON, SUZANNE LINN",INSTRUCTOR,,,,,,
2.87,LEC - Lecture,5.35,5.23,2420,Nutrition for Health and Performance,2XXX,AS,IPHY,NS,0,3,P  - In Person,Lower,1,1,200,196,196,0,0,0,168,0.26,0.47,0.19,0.11,0.06,0.08,0.02,1,0,0.02,0,002,IPHY,Integrative Physiology,4-6,2.27,20137,2 Other reg,"NELSON, SUZANNE LINN",INSTRUCTOR,,,,,,
3.44,LEC - Lecture,,,2420,Nutrition for Health and Performance,2XXX,AS,IPHY,NS,0,3,P  - In Person,Lower,1,,19,17,17,0,0,0,,0.65,0.24,0.06,0.06,0.06,0.06,0,1,0,0.11,0,170,IPHY,Integrative Physiology,,,20137,2 Other reg,"LOUIE, DONNA FUNGHAR",INSTRUCTOR,,,,,,
2.74,LEC - Lecture,,,2420,Nutrition for Health and Performance,2XXX,AS,IPHY,NS,0,3,P  - In Person,Lower,1,,19,19,19,0,0,0,,0.16,0.53,0.21,0.16,0.11,0.11,0,1,0,0,0,260,IPHY,Integrative Physiology,,,20137,2 Other reg,"LYNCH, MARYBETH",INSTRUCTOR,,,,,,
2.45,LEC - Lecture,,,2420,Nutrition for Health and Performance,2XXX,AS,IPHY,NS,0,3,P  - In Person,Lower,1,,19,19,19,0,0,0,,0.16,0.37,0.26,0.26,0.16,0.21,0.05,1,0,0,0,261,IPHY,Integrative Physiology,,,20137,2 Other reg,"LYNCH, MARYBETH",INSTRUCTOR,,,,,,
3.14,LEC - Lecture,,,2420,Nutrition for Health and Performance,2XXX,AS,IPHY,NS,0,3,P  - In Person,Lower,1,,18,15,15,0,0,0,,0.33,0.53,0.13,0.07,0,0,0,1,0,0.17,0,280,IPHY,Integrative Physiology,,,20137,2 Other reg,"LOUIE, DONNA FUNGHAR",INSTRUCTOR,,,,,,
3.15,LEC - Lecture,,,2420,Nutrition for Health and Performance,2XXX,AS,IPHY,NS,0,3,P  - In Person,Lower,1,,18,18,18,0,0,0,,0.5,0.22,0.22,0.11,0.06,0.06,0,1,0,0,0,281,IPHY,Integrative Physiology,,,20137,2 Other reg,"LOUIE, DONNA FUNGHAR",INSTRUCTOR,,,,,,
3.07,LEC - Lecture,,,2420,Nutrition for Health and Performance,2XXX,AS,IPHY,NS,0,3,P  - In Person,Lower,1,,20,19,19,0,0,0,,0.26,0.63,0.05,0.05,0.05,0.05,0,1,0,0.05,0,430,IPHY,Integrative Physiology,,,20137,2 Other reg,"LOUIE, DONNA FUNGHAR",INSTRUCTOR,,,,,,
3.44,LEC - Lecture,,,2420,Nutrition for Health and Performance,2XXX,AS,IPHY,NS,1,3,P  - In Person,Lower,1,,16,15,15,0,0,0,,0.47,0.47,0.07,0,0,0,0,1,0,0.06,0,888,IPHY,Integrative Physiology,,,20137,2 Other reg,"LYNCH, MARYBETH",INSTRUCTOR,,,,,,
2.93,LEC - Lecture,4.01,4.52,2800,Introduction to Statistics,2XXX,AS,IPHY,NS,0,4,P  - In Person,Lower,1,1,147,142,142,0,0,0,99,0.25,0.48,0.19,0.09,0.06,0.08,0.02,1,0,0.03,0,010,IPHY,Integrative Physiology,4-6,2.48,20137,1 TTT,"EHRINGER, MARISSA A",ASSOCIATE PROFESSOR,,,,,,
4,PRA - Practicum,,,3010,Teaching in Integrative Physiology,3XXX,AS,IPHY,NS,0,2,P  - In Person,Upper,1,,28,28,28,0,0,0,,1,0,0,0,0,0,0,1,0,0,1,801,IPHY,Integrative Physiology,,,20137,2 Other reg,"HOBBS, STEVEN L",INSTRUCTOR,,,,,,
4,PRA - Practicum,,,3010,Teaching in Integrative Physiology,3XXX,AS,IPHY,NS,0,2,P  - In Person,Upper,1,,12,12,12,0,0,0,,1,0,0,0,0,0,0,1,0,0,1,802,IPHY,Integrative Physiology,,,20137,2 Other reg,"MADDEN, MOLLY C",INSTRUCTOR,,,,,,
4,PRA - Practicum,,,3010,Teaching in Integrative Physiology,3XXX,AS,IPHY,NS,0,2,P  - In Person,Upper,1,,18,18,18,0,0,0,,1,0,0,0,0,0,0,1,0,0,1,810,IPHY,Integrative Physiology,,,20137,2 Other reg,"NELSON, SUZANNE LINN",INSTRUCTOR,,,,,,
2.92,LEC - Lecture,5.13,5.51,3060,Cell Physiology,3XXX,AS,IPHY,NS,0,4,P  - In Person,Upper,1,1,58,56,56,0,0,0,45,0.27,0.45,0.23,0.05,0.05,0.05,0,1,0,0.03,0,010,IPHY,Integrative Physiology,7-9,2.93,20137,1 TTT,"LINK, CHRISTOPHER D",ASSOCIATE PROFESSOR,,,,,,
2.52,LEC - Lecture,5.14,5.26,3410,Introduction to Human Anatomy,3XXX,AS,IPHY,NS,0,3,P  - In Person,Upper,1,1,203,191,191,0,0,0,119,0.2,0.36,0.27,0.26,0.12,0.17,0.05,1,0,0.06,0,001,IPHY,Integrative Physiology,7-9,3.20,20137,2 Other reg,"SAUL, LEIF J",SENIOR INSTRUCTOR,,,,,,
2.46,LEC - Lecture,4.7,4.67,3410,Introduction to Human Anatomy,3XXX,AS,IPHY,NS,0,3,P  - In Person,Upper,1,1,223,213,213,0,0,0,101,0.17,0.36,0.3,0.28,0.11,0.17,0.07,1,0,0.04,0,002,IPHY,Integrative Physiology,7-9,2.93,20137,2 Other reg,"HEISLER, RUTH E",SENIOR INSTRUCTOR,,,,,,
2.27,LEC - Lecture,,,3410,Introduction to Human Anatomy,3XXX,AS,IPHY,NS,0,3,P  - In Person,Upper,1,,12,12,12,0,0,0,,0.17,0.42,0.17,0.42,0.17,0.25,0.08,1,0,0,0,190,IPHY,Integrative Physiology,,,20137,2 Other reg,"HEISLER, RUTH E",SENIOR INSTRUCTOR,,,,,,
2.41,MLS - Main Lab,5.08,5.85,3415,Human Anatomy Laboratory,3XXX,AS,IPHY,NS,0,2,P  - In Person,Upper,1,1,16,14,14,0,0,0,13,0.07,0.64,0.14,0.21,0,0.14,0.14,1,0,0.13,0,001,IPHY,Integrative Physiology,10-12,4.00,20137,2 Other reg,"HOBBS, STEVEN L",INSTRUCTOR,,,,,,
2.91,MLS - Main Lab,4.8,4.7,3415,Human Anatomy Laboratory,3XXX,AS,IPHY,NS,0,2,P  - In Person,Upper,1,1,16,14,14,0,0,0,10,0.29,0.36,0.36,0.14,0,0,0,1,0,0.13,0,002,IPHY,Integrative Physiology,10-12,4.00,20137,2 Other reg,"HOBBS, STEVEN L",INSTRUCTOR,,,,,,
2.35,MLS - Main Lab,5.25,5.25,3415,Human Anatomy Laboratory,3XXX,AS,IPHY,NS,0,2,P  - In Person,Upper,2,1,16,14,14,0,0,0,13,0.21,0.29,0.36,0.29,0.07,0.14,0.07,1,0,0.12,0,003,IPHY,Integrative Physiology,10-12,3.50,20137,2 Other reg,"HOBBS, STEVEN L",INSTRUCTOR,,,,,,
2.85,MLS - Main Lab,5.33,5.5,3415,Human Anatomy Laboratory,3XXX,AS,IPHY,NS,0,2,P  - In Person,Upper,1,1,16,13,13,0,0,0,12,0.08,0.54,0.38,0.08,0,0,0,1,0,0.19,0,004,IPHY,Integrative Physiology,10-12,4.00,20137,2 Other reg,"HOBBS, STEVEN L",INSTRUCTOR,,,,,,
3.03,MLS - Main Lab,5.36,5.86,3415,Human Anatomy Laboratory,3XXX,AS,IPHY,NS,0,2,P  - In Person,Upper,1,1,16,15,15,0,0,0,14,0.4,0.4,0.13,0.07,0.07,0.07,0,1,0,0.06,0,005,IPHY,Integrative Physiology,10-12,4.00,20137,2 Other reg,"HOBBS, STEVEN L",INSTRUCTOR,,,,,,
2.55,MLS - Main Lab,4.6,5.6,3415,Human Anatomy Laboratory,3XXX,AS,IPHY,NS,0,2,P  - In Person,Upper,1,1,16,15,15,0,0,0,5,0.13,0.4,0.33,0.2,0.07,0.13,0.07,1,0,0.06,0,006,IPHY,Integrative Physiology,10-12,4.00,20137,2 Other reg,"HOBBS, STEVEN L",INSTRUCTOR,,,,,,
2.66,MLS - Main Lab,4.92,5.75,3415,Human Anatomy Laboratory,3XXX,AS,IPHY,NS,0,2,P  - In Person,Upper,1,1,16,14,14,0,0,0,12,0.29,0.29,0.29,0.21,0.07,0.14,0.07,1,0,0.13,0,007,IPHY,Integrative Physiology,10-12,3.83,20137,2 Other reg,"HOBBS, STEVEN L",INSTRUCTOR,,,,,,
3.27,MLS - Main Lab,5.13,5.87,3415,Human Anatomy Laboratory,3XXX,AS,IPHY,NS,0,2,P  - In Person,Upper,1,1,16,15,15,0,0,0,15,0.53,0.33,0.07,0.07,0.07,0.07,0,1,0,0.06,0,008,IPHY,Integrative Physiology,10-12,4.07,20137,2 Other reg,"HOBBS, STEVEN L",INSTRUCTOR,,,,,,
2.89,MLS - Main Lab,5.33,5.53,3415,Human Anatomy Laboratory,3XXX,AS,IPHY,NS,0,2,P  - In Person,Upper,2,1,16,16,16,0,0,0,15,0.31,0.37,0.25,0.06,0,0.06,0.06,1,0,0,0,009,IPHY,Integrative Physiology,10-12,4.14,20137,2 Other reg,"HOBBS, STEVEN L",INSTRUCTOR,,,,,,
3.37,MLS - Main Lab,5.4,5.87,3415,Human Anatomy Laboratory,3XXX,AS,IPHY,NS,0,2,P  - In Person,Upper,1,1,16,15,15,0,0,0,15,0.4,0.53,0.07,0,0,0,0,1,0,0.06,0,010,IPHY,Integrative Physiology,10-12,4.33,20137,2 Other reg,"HOBBS, STEVEN L",INSTRUCTOR,,,,,,
2.36,MLS - Main Lab,5.44,5.89,3415,Human Anatomy Laboratory,3XXX,AS,IPHY,NS,0,2,P  - In Person,Upper,1,1,16,16,16,0,0,0,9,0.06,0.38,0.44,0.31,0.13,0.13,0,1,0,0,0,011,IPHY,Integrative Physiology,10-12,4.11,20137,2 Other reg,"HOBBS, STEVEN L",INSTRUCTOR,,,,,,
2.76,MLS - Main Lab,4.79,4.86,3415,Human Anatomy Laboratory,3XXX,AS,IPHY,NS,0,2,P  - In Person,Upper,1,1,16,15,15,0,0,0,14,0.2,0.47,0.27,0.27,0.07,0.07,0,1,0,0.06,0,012,IPHY,Integrative Physiology,7-9,3.23,20137,2 Other reg,"HOBBS, STEVEN L",INSTRUCTOR,,,,,,
2.65,MLS - Main Lab,4.67,4.55,3415,Human Anatomy Laboratory,3XXX,AS,IPHY,NS,0,2,P  - In Person,Upper,1,1,16,16,16,0,0,0,9,0.13,0.56,0.25,0.19,0,0.06,0.06,1,0,0,0,013,IPHY,Integrative Physiology,10-12,4.22,20137,2 Other reg,"HOBBS, STEVEN L",INSTRUCTOR,,,,,,
2.19,MLS - Main Lab,5.11,5.67,3415,Human Anatomy Laboratory,3XXX,AS,IPHY,NS,0,2,P  - In Person,Upper,1,1,16,14,14,0,0,0,9,0,0.43,0.36,0.43,0.14,0.21,0.07,1,0,0.13,0,014,IPHY,Integrative Physiology,10-12,3.75,20137,2 Other reg,"HOBBS, STEVEN L",INSTRUCTOR,,,,,,
2.24,MLS - Main Lab,5.4,4.8,3415,Human Anatomy Laboratory,3XXX,AS,IPHY,NS,0,2,P  - In Person,Upper,1,1,16,15,15,0,0,0,5,0.07,0.13,0.73,0.33,0.07,0.07,0,1,0,0.06,0,015,IPHY,Integrative Physiology,10-12,3.67,20137,2 Other reg,"HOBBS, STEVEN L",INSTRUCTOR,,,,,,
2.48,MLS - Main Lab,4.93,5.86,3415,Human Anatomy Laboratory,3XXX,AS,IPHY,NS,0,2,P  - In Person,Upper,1,1,16,16,16,0,0,0,14,0.13,0.44,0.31,0.13,0.06,0.13,0.06,1,0,0,0,016,IPHY,Integrative Physiology,10-12,3.79,20137,2 Other reg,"HOBBS, STEVEN L",INSTRUCTOR,2 Other reg,"BUSTAMANTE, HEIDI MARGARITA",INSTRUCTOR,,,
2.23,MLS - Main Lab,5.4,5.2,3415,Human Anatomy Laboratory,3XXX,AS,IPHY,NS,0,2,P  - In Person,Upper,1,1,16,16,16,0,0,0,5,0,0.5,0.31,0.31,0.13,0.19,0.06,1,0,0,0,017,IPHY,Integrative Physiology,10-12,4.00,20137,2 Other reg,"HOBBS, STEVEN L",INSTRUCTOR,,,,,,
2.63,MLS - Main Lab,5.38,5.88,3415,Human Anatomy Laboratory,3XXX,AS,IPHY,NS,0,2,P  - In Person,Upper,1,1,16,15,15,0,0,0,8,0.27,0.33,0.27,0.2,0.07,0.13,0.07,1,0,0.06,0,018,IPHY,Integrative Physiology,7-9,3.25,20137,2 Other reg,"HOBBS, STEVEN L",INSTRUCTOR,,,,,,
